PC1,PC2,cell_type
1.2099777286059703,-0.6714804620293683,beta
1.9346945910004336,0.7060638515985106,beta
2.0959020105990462,-0.9612990156062392,beta
0.5991214118945744,-1.5088834864690448,beta
1.4547645651621486,-0.18401645894866844,beta
1.5307772176991274,-0.6625540287966738,beta
1.9978000917866028,0.060963359943916356,beta
0.8654631928722042,-1.508145850642142,beta
0.24898777357821675,1.1322791946360629,beta
1.2440047759262405,0.6341611168025139,beta
0.30786418324383463,-0.11131617915990522,beta
1.2063887141221667,-0.9392062253772768,beta
1.0734104466119538,0.028020467896217212,beta
1.2348469595169256,0.6785065207454958,beta
0.4370668386213644,-1.3877015798165486,beta
1.4113837710853112,0.6129961488001268,beta
0.7019046748779495,1.1231995604208747,beta
0.22745499693379756,-0.6785776055716637,beta
1.721813346569941,2.193177613625891,beta
0.9144110370765156,0.7356607252098907,beta
1.174986692912293,0.4898297386512362,beta
1.1734057080582125,-0.38709695568935626,beta
1.5044133210931774,0.5549817017461717,beta
0.9179956444402559,-0.32601437196686617,beta
0.3439881777019439,-1.2456806146525305,beta
0.9578005935874669,1.7729477973835572,beta
2.7557547001534504,-1.428631018662714,beta
2.2986376982647556,-0.5456766435281374,beta
2.066433318457342,-0.814108362951881,beta
1.2234809693858861,0.19031862756589205,alpha
-1.7138414745457207,0.04448770727411742,alpha
0.8652819028221201,-0.5071257763119399,alpha
1.702833469693115,0.9753377018389072,alpha
0.7803558492423267,0.3623799579368686,alpha
-1.9398089535972374,0.2725013691672579,alpha
1.1313393969454104,-0.45309878516520913,alpha
1.2978952592319397,1.0185909063192504,alpha
-1.1654005003560903,-0.7108194454450438,beta
-0.710531649166266,-1.6388027466382884,beta
-0.8698089656097289,0.625565505602644,beta
-1.1583545097197832,-1.0261441142131753,beta
-2.2929786688478386,1.6729931771186095,beta
-2.35832187756214,1.1842063886018115,beta
-2.3599556149585688,0.42062745905335885,beta
-1.7753451869309778,-0.0950515579888694,beta
-1.8774007965156738,-0.38344412685738505,beta
-1.5571185669277874,-1.2212472226184525,beta
-1.2509354928668324,-1.5742918230464333,beta
-1.8425397730054005,-0.477818012104698,beta
-1.7917092111720954,-0.8459642427966471,beta
-1.5529467812921065,-1.150623584017021,beta
-0.8902651679266959,-1.556457151520687,beta
-0.9849929746020764,-0.8526490140282664,beta
-0.9436549727032342,-2.1050659053022334,beta
-1.7365652473671056,-1.4884328965337388,beta
-1.0641608333094341,-1.2556990657369382,beta
-2.583728732266698,-0.17297764973341045,beta
-1.0501292746425919,-2.639188567707123,beta
-2.283172184444978,-0.5310724227509017,beta
-2.179255911103394,0.20942710570793352,beta
-1.4374325488720459,0.15377738208806363,beta
-2.2258265513284834,-1.1963542323968863,beta
-1.6038530784311584,-1.330859461926939,beta
-2.0995497575495974,-0.3914239359552448,beta
-1.601385281917503,-1.194769474569763,beta
-1.5734825860906987,0.011958470886131627,beta
-0.5127510460890976,-0.982082871123788,beta
-0.4542942121276707,0.49430238819209943,beta
-1.8282847637529427,-1.6141429931871913,beta
